year,diff
133,-0.576656664
134,-0.584647702
135,-0.592565513
136,-0.600388192
137,-0.60744608
138,-0.614365028
139,-0.620475375
140,-0.627050729
141,-0.632125917
142,-0.637622303
143,-0.64222247
144,-0.64655227
145,-0.650589798
146,-0.65431315
147,-0.657700421
148,-0.66008195
149,-0.662731346
150,-0.664331191
151,-0.665507338
152,-0.666237881
153,-0.667217587
154,-0.666943675
155,-0.668085341
156,-0.668046924
157,-0.669414815
158,-0.67024111
159,-0.671168929
160,-0.672193637
161,-0.6733106
162,-0.675162937
163,-0.676450501
164,-0.67846417
165,-0.680551551
166,-0.682060255
167,-0.684281156
168,-0.686561865
169,-0.688897746
170,-0.691284163
171,-0.694364238
172,-0.696837823
173,-0.699995794
174,-0.702538005
175,-0.706403089
176,-0.708995385
177,-0.712253527
178,-0.71617288
179,-0.719453296
180,-0.722737896
181,-0.726669801
182,-0.729948863
183,-0.73386596
184,-0.737120943
185,-0.74100469
186,-0.74486481
187,-0.748696666
188,-0.752495625
189,-0.75625705
190,-0.760624062
191,-0.763648759
192,-0.767917528
193,-0.772130223
194,-0.775634453
195,-0.779721093
196,-0.783737753
197,-0.787032042
198,-0.791542592
199,-0.7953215
200,-0.799011886
201,-0.803256872
202,-0.806756311
203,-0.810801078
204,-0.814738783
205,-0.819212546
206,-0.822922221
207,-0.827158684
208,-0.831269543
209,-0.835897919
210,-0.839743666
211,-0.844097659
212,-0.848955264
213,-0.85366409
214,-0.8582195
215,-0.863264617
216,-0.868794804
217,-0.87424371
218,-0.880306597
219,-0.887755324
220,-0.896554311
221,-0.906667978
222,-0.917412988
223,-0.929401517
224,-0.941950227
225,-0.956319052
226,-0.971176898
227,-0.987783698
228,-1.004160602
229,-1.022215298
230,-1.040616694
231,-1.060624721
232,-1.080908287
233,-1.102727324
234,-1.125398494
235,-1.147590707
236,-1.171859404
237,-1.196225739
238,-1.221301886
239,-1.246404508
240,-1.272793539
241,-1.299137884
242,-1.32604972
243,-1.353493467
244,-1.381433543
245,-1.408538857
246,-1.436717095
247,-1.464637167
248,-1.49226349
249,-1.520208241
250,-1.547788084
251,-1.574967437
252,-1.601062964
253,-1.627334598
254,-1.653099001
255,-1.677672838
256,-1.702316039
257,-1.725049756
258,-1.746486165
259,-1.767885198
260,-1.787268006
261,-1.805246764
262,-1.822433648
263,-1.837544404
264,-1.851016402
265,-1.863618271
266,-1.876004547
267,-1.886238746
268,-1.894975402
269,-1.902869055
270,-1.909278728
271,-1.914211204
272,-1.917673264
273,-1.919671688
274,-1.920213258
275,-1.919304755
276,-1.916305205
277,-1.912516901
278,-1.907298868
279,-1.900010131
280,-1.891952984
281,-1.881190939
282,-1.870321802
283,-1.857409087
284,-1.843755086
285,-1.828071069
286,-1.811659328
287,-1.794526646
288,-1.776032048
289,-1.756182314
290,-1.735631982
291,-1.715035589
292,-1.693104405
293,-1.670492967
294,-1.647855811
295,-1.624551964
296,-1.601235962
297,-1.577914587
298,-1.553946864
299,-1.530635086
300,-1.507338279
301,-1.48471098
302,-1.461464457
303,-1.439548761
304,-1.418322916
305,-1.397145948
306,-1.37732015
307,-1.358852303
308,-1.339805921
309,-1.323426564
310,-1.306976551
311,-1.289984524
312,-1.272073736
313,-1.253406931
314,-1.233499094
315,-1.213160725
316,-1.192554567
317,-1.171843362
318,-1.150542098
319,-1.130109028
320,-1.109411383
321,-1.089259663
322,-1.069816611
323,-1.050597212
324,-1.032411965
325,-1.015423614
326,-0.998499389
327,-0.983097545
328,-0.969380825
329,-0.956216459
330,-0.944414946
331,-0.934139028
332,-0.92555145
333,-0.918167197
334,-0.912149012
335,-0.908307393
336,-0.906157329
337,-0.906509316
338,-0.908230587
339,-0.911979406
340,-0.915825874
341,-0.919156821
342,-0.921345907
343,-0.923062306
344,-0.92367968
345,-0.923219448
346,-0.922350783
347,-0.919799591
348,-0.916882801
349,-0.912974077
350,-0.908094834
351,-0.902914249
352,-0.896158225
353,-0.889143694
354,-0.880596561
355,-0.871833756
356,-0.862228941
357,-0.851803533
358,-0.840578952
359,-0.829224369
360,-0.817113448
361,-0.804267607
362,-0.791356018
363,-0.777752345
364,-0.76412576
365,-0.749849927
366,-0.735594018
367,-0.721379451
368,-0.706579889
369,-0.692512262
370,-0.678550231
371,-0.664715214
372,-0.650380872
373,-0.636864137
374,-0.62353867
375,-0.610425888
376,-0.598194966
377,-0.585571809
378,-0.573873347
