Year,Temperature Anomaly (°C),Standard Error
-2999,-0.831707234,0.872899808
-2998,-0.833575022,0.870132899
-2997,-0.83543806,0.867373616
-2996,-0.837296339,0.864621988
-2995,-0.839149848,0.861878044
-2994,-0.840998575,0.859141812
-2993,-0.842842511,0.856413322
-2992,-0.844681644,0.853692602
-2991,-0.846515964,0.850979682
-2990,-0.848345461,0.848274591
-2989,-0.850170123,0.845577357
-2988,-0.85198994,0.84288801
-2987,-0.853804902,0.840206577
-2986,-0.855614998,0.837533089
-2985,-0.857420216,0.834867574
-2984,-0.859220548,0.83221006
-2983,-0.861015981,0.829560577
-2982,-0.862806505,0.826919153
-2981,-0.86459211,0.824285817
-2980,-0.866372785,0.821660597
-2979,-0.868148519,0.819043522
-2978,-0.869919302,0.81643462
-2977,-0.871685122,0.81383392
-2976,-0.873445971,0.811241451
-2975,-0.875201835,0.80865724
-2974,-0.876952706,0.806081316
-2973,-0.878698573,0.803513706
-2972,-0.880439424,0.800954441
-2971,-0.882175249,0.798403546
-2970,-0.883906038,0.795861051
-2969,-0.88563178,0.793326983
-2968,-0.887352464,0.79080137
-2967,-0.889068079,0.78828424
-2966,-0.890778616,0.78577562
-2965,-0.892484063,0.783275538
-2964,-0.894184409,0.780784022
-2963,-0.895879645,0.778301099
-2962,-0.897569759,0.775826795
-2961,-0.89925474,0.77336114
-2960,-0.900934579,0.770904159
-2959,-0.902609264,0.768455879
-2958,-0.904278785,0.766016327
-2957,-0.905943131,0.763585531
-2956,-0.907602292,0.761163516
-2955,-0.909256256,0.758750309
-2954,-0.910905014,0.756345937
-2953,-0.912548554,0.753950426
-2952,-0.914186866,0.751563802
-2951,-0.91581994,0.74918609
-2950,-0.917447764,0.746817317
-2949,-0.919070329,0.744457508
-2948,-0.920687622,0.742106689
-2947,-0.922299635,0.739764885
-2946,-0.923906355,0.737432122
-2945,-0.925507773,0.735108424
-2944,-0.927103878,0.732793816
-2943,-0.928694659,0.730488323
-2942,-0.930280106,0.72819197
-2941,-0.931860207,0.72590478
-2940,-0.933434953,0.723626779
-2939,-0.935004332,0.721357989
-2938,-0.936568334,0.719098436
-2937,-0.938126949,0.716848141
-2936,-0.939680165,0.71460713
-2935,-0.941227972,0.712375424
-2934,-0.94277036,0.710153047
-2933,-0.944307318,0.707940022
-2932,-0.945838834,0.705736371
-2931,-0.947364899,0.703542116
-2930,-0.948885502,0.70135728
-2929,-0.950400632,0.699181884
-2928,-0.951910279,0.69701595
-2927,-0.953414431,0.6948595
-2926,-0.954913079,0.692712553
-2925,-0.956406211,0.690575133
-2924,-0.957893818,0.688447258
-2923,-0.959375887,0.686328949
-2922,-0.96085241,0.684220227
-2921,-0.962323374,0.682121111
-2920,-0.96378877,0.68003162
-2919,-0.965248587,0.677951775
-2918,-0.966702813,0.675881593
-2917,-0.96815144,0.673821094
-2916,-0.969594455,0.671770296
-2915,-0.971031848,0.669729217
-2914,-0.972463609,0.667697875
-2913,-0.973889727,0.665676287
-2912,-0.975310191,0.66366447
-2911,-0.97672499,0.661662442
-2910,-0.978134115,0.659670218
-2909,-0.979537554,0.657687816
-2908,-0.980935296,0.65571525
-2907,-0.982327332,0.653752536
-2906,-0.98371365,0.65179969
-2905,-0.98509424,0.649856725
-2904,-0.986469091,0.647923658
-2903,-0.987838193,0.646000501
-2902,-0.989201534,0.644087269
-2901,-0.990559105,0.642183974
-2900,-0.991910894,0.640290631
-2899,-0.993256891,0.63840725
-2898,-0.994597085,0.636533846
-2897,-0.995931466,0.634670428
-2896,-0.997260023,0.63281701
-2895,-0.998582746,0.630973601
-2894,-0.999899623,0.629140213
-2893,-1.001210644,0.627316855
-2892,-1.002515799,0.625503539
-2891,-1.003815076,0.623700271
-2890,-1.005108466,0.621907063
-2889,-1.006395957,0.620123922
-2888,-1.007677538,0.618350857
-2887,-1.008953201,0.616587875
-2886,-1.010222932,0.614834983
-2885,-1.011486723,0.613092189
-2884,-1.012744562,0.611359498
-2883,-1.013996438,0.609636916
-2882,-1.015242342,0.607924449
-2881,-1.016482262,0.606222102
-2880,-1.017716187,0.604529879
-2879,-1.018944108,0.602847785
-2878,-1.020166013,0.601175822
-2877,-1.021381892,0.599513994
-2876,-1.022591734,0.597862303
-2875,-1.023795529,0.596220753
-2874,-1.024993266,0.594589343
-2873,-1.026184933,0.592968075
-2872,-1.027370522,0.591356951
-2871,-1.02855002,0.58975597
-2870,-1.029723418,0.588165131
-2869,-1.030890704,0.586584434
-2868,-1.032051868,0.585013877
-2867,-1.0332069,0.583453459
-2866,-1.034355788,0.581903176
-2865,-1.035498523,0.580363027
-2864,-1.036635092,0.578833007
-2863,-1.037765487,0.577313113
-2862,-1.038889696,0.57580334
-2861,-1.040007709,0.574303683
-2860,-1.041119514,0.572814137
-2859,-1.042225101,0.571334695
-2858,-1.04332446,0.56986535
-2857,-1.044417581,0.568406096
-2856,-1.045504451,0.566956925
-2855,-1.046585061,0.565517828
-2854,-1.0476594,0.564088797
-2853,-1.048727458,0.562669822
-2852,-1.049789223,0.561260894
-2851,-1.050844685,0.559862002
-2850,-1.051893834,0.558473135
-2849,-1.052936659,0.557094281
-2848,-1.053973149,0.555725429
-2847,-1.055003293,0.554366565
-2846,-1.056027081,0.553017678
-2845,-1.057044503,0.551678752
-2844,-1.058055547,0.550349774
-2843,-1.059060203,0.549030729
-2842,-1.06005846,0.547721601
-2841,-1.061050846,0.546422376
-2840,-1.062038211,0.545133041
-2839,-1.063020562,0.543853588
-2838,-1.063997892,0.542584009
-2837,-1.064970196,0.541324296
-2836,-1.065937469,0.540074438
-2835,-1.066899706,0.538834427
-2834,-1.067856901,0.537604253
-2833,-1.068809049,0.536383908
-2832,-1.069756144,0.535173381
-2831,-1.070698181,0.533972661
-2830,-1.071635155,0.53278174
-2829,-1.07256706,0.531600607
-2828,-1.073493891,0.530429251
-2827,-1.074415643,0.529267661
-2826,-1.07533231,0.528115827
-2825,-1.076243887,0.526973736
-2824,-1.077150368,0.525841379
-2823,-1.078051749,0.524718742
-2822,-1.078948022,0.523605814
-2821,-1.079839185,0.522502583
-2820,-1.08072523,0.521409036
-2819,-1.081606153,0.520325161
-2818,-1.082481948,0.519250945
-2817,-1.08335261,0.518186375
-2816,-1.084218133,0.517131438
-2815,-1.085078512,0.516086119
-2814,-1.085933743,0.515050405
-2813,-1.086783818,0.514024282
-2812,-1.087628733,0.513007735
-2811,-1.088468483,0.51200075
-2810,-1.089303062,0.511003312
-2809,-1.090132465,0.510015405
-2808,-1.090956687,0.509037015
-2807,-1.091775721,0.508068125
-2806,-1.092589563,0.50710872
-2805,-1.093398208,0.506158782
-2804,-1.09420165,0.505218297
-2803,-1.094999883,0.504287246
-2802,-1.095792902,0.503365613
