Year,Statistic,Momentary population,Momentary population (Gaussian centered),Momentary population (linear lagged)
600,Total,2931.561980194884,NA,NA
601,Total,2931.561980194884,NA,NA
602,Total,2931.561980194884,NA,NA
603,Total,2931.561980194884,NA,NA
604,Total,2931.561980194884,NA,NA
605,Total,2931.561980194884,NA,NA
606,Total,2931.561980194884,NA,NA
607,Total,2931.561980194884,NA,NA
608,Total,2931.561980194884,NA,NA
609,Total,2931.561980194884,NA,NA
610,Total,2931.561980194884,2931.56198019488,NA
611,Total,2931.561980194884,2931.56198019488,NA
612,Total,2931.561980194884,2931.56198019488,NA
613,Total,2931.561980194884,2931.56198019488,NA
614,Total,2931.561980194884,2931.56198019488,NA
615,Total,2931.561980194884,2931.56198019488,NA
616,Total,2931.561980194884,2931.56198019488,NA
617,Total,2931.561980194884,2931.56198019488,NA
618,Total,2931.561980194884,2931.56198019488,NA
619,Total,2931.561980194884,2931.56198019488,NA
620,Total,2931.561980194884,2931.56198019488,2931.56198019488
621,Total,2931.561980194884,2931.56198019488,2931.56198019488
622,Total,2931.561980194884,2931.56198019488,2931.56198019488
623,Total,2931.561980194884,2931.56198019488,2931.56198019488
624,Total,2931.561980194884,2931.56198019488,2931.56198019488
625,Total,2931.561980194884,2931.56198019488,2931.56198019488
626,Total,2931.561980194884,2931.56198019488,2931.56198019488
627,Total,2931.561980194884,2931.56198019488,2931.56198019488
628,Total,2931.561980194884,2931.56198019488,2931.56198019488
629,Total,2931.561980194884,2931.56198019488,2931.56198019488
630,Total,2931.561980194884,2931.56198019488,2931.56198019488
631,Total,2931.561980194884,2931.56198019488,2931.56198019488
632,Total,2931.561980194884,2931.56198019488,2931.56198019488
633,Total,2931.561980194884,2931.56198019488,2931.56198019488
634,Total,2931.561980194884,2931.56198019488,2931.56198019488
635,Total,2931.561980194884,2931.56198019488,2931.56198019488
636,Total,2931.561980194884,2931.56198019488,2931.56198019488
637,Total,2931.561980194884,2931.56198019488,2931.56198019488
638,Total,2931.561980194884,2931.56198019488,2931.56198019488
639,Total,2931.561980194884,2931.56198019488,2931.56198019488
640,Total,2931.561980194884,2931.56198019488,2931.56198019488
641,Total,2931.561980194884,2931.56198019488,2931.56198019488
642,Total,2931.561980194884,2931.56198019488,2931.56198019488
643,Total,2931.561980194884,2931.56198019488,2931.56198019488
644,Total,2931.561980194884,2931.56198019488,2931.56198019488
645,Total,2931.561980194884,2931.56198019488,2931.56198019488
646,Total,2931.561980194884,2931.56198019488,2931.56198019488
647,Total,2931.561980194884,2931.56198019488,2931.56198019488
648,Total,2931.561980194884,2931.56198019488,2931.56198019488
649,Total,2931.561980194884,2931.56198019488,2931.56198019488
650,Total,2931.561980194884,2931.56198019488,2931.56198019488
651,Total,2931.561980194884,2931.56198019488,2931.56198019488
652,Total,2931.561980194884,2931.56198019488,2931.56198019488
653,Total,2931.561980194884,2931.56198019488,2931.56198019488
654,Total,2931.561980194884,2931.56198019488,2931.56198019488
655,Total,2931.561980194884,2931.56198019488,2931.56198019488
656,Total,2931.561980194884,2931.56198019488,2931.56198019488
657,Total,2931.561980194884,2931.56198019488,2931.56198019488
658,Total,2931.561980194884,2931.56198019488,2931.56198019488
659,Total,2931.561980194884,2931.56198019488,2931.56198019488
660,Total,2931.561980194884,2931.56198019488,2931.56198019488
661,Total,2931.561980194884,2931.56198019488,2931.56198019488
662,Total,2931.561980194884,2931.56198019488,2931.56198019488
663,Total,2931.561980194884,2931.56198019488,2931.56198019488
664,Total,2931.561980194884,2931.56198019488,2931.56198019488
665,Total,2931.561980194884,2931.56198019488,2931.56198019488
666,Total,2931.561980194884,2931.56198019488,2931.56198019488
667,Total,2931.561980194884,2931.56198019488,2931.56198019488
668,Total,2931.561980194884,2931.56198019488,2931.56198019488
669,Total,2931.561980194884,2931.56198019488,2931.56198019488
670,Total,2931.561980194884,2931.56198019488,2931.56198019488
671,Total,2931.561980194884,2931.56198019488,2931.56198019488
672,Total,2931.561980194884,2931.56198019488,2931.56198019488
673,Total,2931.561980194884,2931.56198019488,2931.56198019488
674,Total,2931.561980194884,2931.56198019488,2931.56198019488
675,Total,2931.561980194884,2931.56198019488,2931.56198019488
676,Total,2931.561980194884,2931.56198019488,2931.56198019488
677,Total,2931.561980194884,2931.56198019488,2931.56198019488
678,Total,2931.561980194884,2931.56198019488,2931.56198019488
679,Total,2931.561980194884,2931.56198019488,2931.56198019488
