Year,Gini index (linear lagged),Location
500,NA,UUSS
501,NA,UUSS
502,NA,UUSS
503,NA,UUSS
504,NA,UUSS
505,NA,UUSS
506,NA,UUSS
507,NA,UUSS
508,NA,UUSS
509,NA,UUSS
510,NA,UUSS
511,NA,UUSS
512,NA,UUSS
513,NA,UUSS
514,NA,UUSS
515,NA,UUSS
516,NA,UUSS
517,NA,UUSS
518,NA,UUSS
519,NA,UUSS
520,0.28,UUSS
521,0.28,UUSS
522,0.28,UUSS
523,0.28,UUSS
524,0.28,UUSS
525,0.28,UUSS
526,0.28,UUSS
527,0.28,UUSS
528,0.28,UUSS
529,0.28,UUSS
530,0.28,UUSS
531,0.28,UUSS
532,0.28,UUSS
533,0.28,UUSS
534,0.28,UUSS
535,0.28,UUSS
536,0.28,UUSS
537,0.28,UUSS
538,0.28,UUSS
539,0.28,UUSS
540,0.28,UUSS
541,0.28,UUSS
542,0.28,UUSS
543,0.28,UUSS
544,0.28,UUSS
545,0.28,UUSS
546,0.28,UUSS
547,0.28,UUSS
548,0.28,UUSS
549,0.28,UUSS
550,0.28,UUSS
551,0.28,UUSS
552,0.28,UUSS
553,0.28,UUSS
554,0.28,UUSS
555,0.28,UUSS
556,0.28,UUSS
557,0.28,UUSS
558,0.28,UUSS
559,0.28,UUSS
560,0.28,UUSS
561,0.28,UUSS
562,0.28,UUSS
563,0.28,UUSS
564,0.28,UUSS
565,0.28,UUSS
566,0.28,UUSS
567,0.28,UUSS
568,0.28,UUSS
569,0.28,UUSS
570,0.28,UUSS
571,0.28,UUSS
572,0.28,UUSS
573,0.28,UUSS
574,0.28,UUSS
575,0.28,UUSS
576,0.28,UUSS
577,0.28,UUSS
578,0.28,UUSS
579,0.28,UUSS
580,0.28,UUSS
581,0.28,UUSS
582,0.28,UUSS
583,0.28,UUSS
584,0.28,UUSS
585,0.28,UUSS
586,0.28,UUSS
587,0.28,UUSS
588,0.28,UUSS
589,0.28,UUSS
590,0.28,UUSS
591,0.28,UUSS
592,0.28,UUSS
593,0.28,UUSS
594,0.28,UUSS
595,0.28,UUSS
596,0.28,UUSS
597,0.28,UUSS
598,0.28,UUSS
599,0.28,UUSS
601,0.2804761904761905,UUSS
602,0.2814285714285715,UUSS
603,0.2828571428571429,UUSS
604,0.2847619047619048,UUSS
605,0.2871428571428572,UUSS
606,0.29000000000000004,UUSS
607,0.2933333333333334,UUSS
608,0.29714285714285715,UUSS
609,0.30142857142857143,UUSS
610,0.3061904761904762,UUSS
611,0.31142857142857144,UUSS
612,0.3171428571428571,UUSS
613,0.3233333333333333,UUSS
614,0.33,UUSS
615,0.33714285714285713,UUSS
616,0.34476190476190477,UUSS
617,0.3528571428571428,UUSS
618,0.36142857142857143,UUSS
619,0.3704761904761905,UUSS
620,0.38000000000000006,UUSS
621,0.39000000000000007,UUSS
622,0.39000000000000007,UUSS
623,0.39000000000000007,UUSS
624,0.39000000000000007,UUSS
625,0.39000000000000007,UUSS
626,0.39000000000000007,UUSS
627,0.39000000000000007,UUSS
628,0.39000000000000007,UUSS
629,0.39000000000000007,UUSS
630,0.39000000000000007,UUSS
631,0.39000000000000007,UUSS
632,0.39000000000000007,UUSS
633,0.39000000000000007,UUSS
634,0.39000000000000007,UUSS
635,0.39000000000000007,UUSS
636,0.39000000000000007,UUSS
637,0.39000000000000007,UUSS
638,0.39000000000000007,UUSS
639,0.39000000000000007,UUSS
640,0.39000000000000007,UUSS
641,0.39000000000000007,UUSS
642,0.39000000000000007,UUSS
643,0.39000000000000007,UUSS
644,0.39000000000000007,UUSS
645,0.39000000000000007,UUSS
646,0.39000000000000007,UUSS
647,0.39000000000000007,UUSS
648,0.39000000000000007,UUSS
649,0.39000000000000007,UUSS
650,0.39000000000000007,UUSS
651,0.39000000000000007,UUSS
652,0.39000000000000007,UUSS
653,0.39000000000000007,UUSS
654,0.39000000000000007,UUSS
655,0.39000000000000007,UUSS
656,0.39000000000000007,UUSS
657,0.39000000000000007,UUSS
658,0.39000000000000007,UUSS
659,0.39000000000000007,UUSS
660,0.39000000000000007,UUSS
661,0.39000000000000007,UUSS
662,0.39000000000000007,UUSS
663,0.39000000000000007,UUSS
664,0.39000000000000007,UUSS
665,0.39000000000000007,UUSS
666,0.39000000000000007,UUSS
667,0.39000000000000007,UUSS
668,0.39000000000000007,UUSS
669,0.39000000000000007,UUSS
670,0.39000000000000007,UUSS
671,0.39000000000000007,UUSS
672,0.39000000000000007,UUSS
673,0.39000000000000007,UUSS
674,0.39000000000000007,UUSS
675,0.39000000000000007,UUSS
676,0.39000000000000007,UUSS
677,0.39000000000000007,UUSS
678,0.39000000000000007,UUSS
679,0.39000000000000007,UUSS
680,0.39000000000000007,UUSS
681,0.39000000000000007,UUSS
682,0.39000000000000007,UUSS
683,0.39000000000000007,UUSS
684,0.39000000000000007,UUSS
685,0.39000000000000007,UUSS
686,0.39000000000000007,UUSS
687,0.39000000000000007,UUSS
688,0.39000000000000007,UUSS
689,0.39000000000000007,UUSS
690,0.39000000000000007,UUSS
691,0.39000000000000007,UUSS
692,0.39000000000000007,UUSS
693,0.39000000000000007,UUSS
694,0.39000000000000007,UUSS
695,0.39000000000000007,UUSS
696,0.39000000000000007,UUSS
697,0.39000000000000007,UUSS
698,0.39000000000000007,UUSS
699,0.39000000000000007,UUSS
701,0.3894372294372295,UUSS
702,0.3883116883116884,UUSS
703,0.3866233766233767,UUSS
704,0.3843722943722945,UUSS
705,0.3815584415584416,UUSS
706,0.37818181818181823,UUSS
707,0.3742424242424243,UUSS
708,0.3697402597402598,UUSS
709,0.3646753246753247,UUSS
710,0.3590476190476191,UUSS
711,0.3528571428571429,UUSS
712,0.34610389610389614,UUSS
713,0.3387878787878788,UUSS
714,0.33090909090909093,UUSS
715,0.3224675324675325,UUSS
716,0.3134632034632035,UUSS
717,0.30389610389610394,UUSS
718,0.2937662337662338,UUSS
719,0.2830735930735931,UUSS
720,0.27181818181818185,UUSS
721,0.26,UUSS
722,0.26,UUSS
723,0.26,UUSS
724,0.26,UUSS
725,0.26,UUSS
726,0.26,UUSS
727,0.26,UUSS
728,0.26,UUSS
729,0.26,UUSS
730,0.26,UUSS
731,0.26,UUSS
732,0.26,UUSS
733,0.26,UUSS
734,0.26,UUSS
735,0.26,UUSS
736,0.26,UUSS
737,0.26,UUSS
738,0.26,UUSS
739,0.26,UUSS
740,0.26,UUSS
741,0.26,UUSS
742,0.26,UUSS
743,0.26,UUSS
744,0.26,UUSS
745,0.26,UUSS
746,0.26,UUSS
747,0.26,UUSS
748,0.26,UUSS
749,0.26,UUSS
750,0.26,UUSS
751,0.26,UUSS
752,0.26,UUSS
753,0.26,UUSS
754,0.26,UUSS
755,0.26,UUSS
756,0.26,UUSS
757,0.26,UUSS
758,0.26,UUSS
759,0.26,UUSS
760,0.26,UUSS
761,0.26,UUSS
762,0.26,UUSS
763,0.26,UUSS
764,0.26,UUSS
765,0.26,UUSS
766,0.26,UUSS
767,0.26,UUSS
768,0.26,UUSS
769,0.26,UUSS
770,0.26,UUSS
771,0.26,UUSS
772,0.26,UUSS
773,0.26,UUSS
774,0.26,UUSS
775,0.26,UUSS
776,0.26,UUSS
777,0.26,UUSS
778,0.26,UUSS
779,0.26,UUSS
780,0.26,UUSS
781,0.26,UUSS
782,0.26,UUSS
783,0.26,UUSS
784,0.26,UUSS
785,0.26,UUSS
786,0.26,UUSS
787,0.26,UUSS
788,0.26,UUSS
789,0.26,UUSS
791,0.26051948051948054,UUSS
792,0.26155844155844155,UUSS
793,0.26311688311688314,UUSS
794,0.2651948051948052,UUSS
795,0.2677922077922078,UUSS
796,0.27090909090909093,UUSS
797,0.27454545454545454,UUSS
798,0.2787012987012987,UUSS
799,0.28337662337662334,UUSS
800,0.28857142857142853,UUSS
801,0.2942857142857143,UUSS
802,0.30051948051948046,UUSS
803,0.3072727272727273,UUSS
804,0.3145454545454545,UUSS
