Sample,Region,Culture_Area,Site_Name,Date_AD,Early_Maize,Eff_Maize,N_GE_5,N519,N_GT_19,P519,P519R5,Comment,DT_Early,DT_Int,e0,e15,R,Men,Women,Boys,Girls,_OBSTAT_,Crude Birth Rate
MarshPass,KAY,Pueblo,composite,-233,-1900,600,21,2.63,18.37,0.125,0.03,Coltrain et al. 2007 Table 1,1667,-833,NA,NA, .,6,3,0,0,01101    0    0    0,0.027806757141043963
MattyWa,HOH,Tucson,composite,-443,-2000,150,15,2,13,0.133,0.042,"Huckell 1995, Table 3.5; Donaldson & Los Ojitos",1557,-593,NA,NA, .,6,7.333,0,0.667,01101    0    0    0,0.029173484244003373
DogLeg,SJB,Pueblo,Dog Leg,-290,-980,300,10.5,4.85,5.65,0.462,0.423,Kearns et al. 1998,690,-590,NA,NA, .,3,1.25,0,0.75,01101    0    0    0,0.08082945801127883
CienegaHOHTucs,HOH,Tucsoncompos,compositeMabrMabry 1998:Tab,-125,-2000,150,55,13,42,0.236,0.153,Mabry 1998:Table 16.2,1875,-275,28.98,21.59, .,11,18.619,0,1.381,01101    0    0    0,0.046122403222534025
Durango S,NSJ,Pueblo,composite    Rowen in Goodi,750,-400,500,5,0,5,0,0,Rowen in Gooding Table 24,1150,250,NA,NA, .,3,2,0,0,01101    0    0    0,0.00375
BMEarly,KAY,Pueblo,composite    Martin et al 1,925,-1900,600,35.43,10.43,25,0.294,0.167,Martin et al 1991 Table 2-11,2825,325,25.47,25.58, .,8,17.45,0,1.55,01101    0    0    0,0.05528368043233435
PBED,MRG,Pueblo,Pena Blanca,650,-1250,300,12.25,3.25,9,0.265,0.184,Early Devlopmental Akins n.d.,1900,350,24.07,27.4, .,1,7,0,1,01101    0    0    0,0.05073048422058225
SJ700  SJ Pueb,SJB,Pueblocompos,compositeSan San Juan Basin,700,-980,300,44.63,10.233,34.397,0.229,0.13,San Juan Basin A.D. 600-799,1680,400,NA,NA, .,26.667,18.667,0,0,01101    0    0    0,0.04500107934493158
SU,MOG,Cibola,SU,500,-2000,1,27,3,24,0.111,0.011,Buzon & Grauer 2002 Table 1,2500,499,NA,NA, .,12,7,0,0,01101    0    0    0,0.025391454656555637
BMLate,KAY,Pueblo,composite    Martin et al.,1100,-1900,600,79,23,56,0.291,0.162,Martin et al. 1991 Table 2-11,3000,500,24.92,25.77, .,25.25,27.25,1.75,1.75,01101    0    0    0,0.05481501924642626
NSJ850 NSJPueb,NSJ,Pueblocompos,compositeNortNorthern San J,850,-400,300,87,21.6,65.4,0.248,0.156,Northern San Juan A.D. 800-899,1250,550,NA,NA, .,17,29,0,0,01101    0    0    0,0.048036295046414906
SJ850  SJ Pueb,SJB,Pueblocompos,compositeSan San Juan Basin,850,-980,300,43.333,10.085,33.248,0.233,0.136,San Juan Basin A.D. 800-899,1830,550,NA,NA, .,13.333,9.333,0,0,01101    0    0    0,0.045642287176861626
LaPlata,SJB,Pueblo,composite,1100,-400,500,50,13,37,0.26,0.187,"Martin et al. 2001, Table 2.2",1500,600,NA,NA, .,16,18,0,0,01101    0    0    0,0.04994009110979358
423-101,SJB,Pueblo,423-101      Herrmann et al,900,-980,300,9,1,8,0.111,0,Herrmann et al. 1993,1880,600,NA,NA, .,2,1,0,0,01101    0    0    0,0.025391454656555637
UpPuerco,SJB,Pueblo,composite    Herrmann et al,945,-980,300,32.17,9.17,23,0.285,0.293,Herrmann et al. 1993,1905,625,NA,NA, .,7,12.45,0,0.55,01101    0    0    0,0.05387610615747035
NSJ950 NSJPueb,NSJ,Pueblocompos,compositeNortNorthern San J,950,-400,300,20.687,3.683,17.004,0.178,0.074,Northern San Juan A.D. 900-999,1350,650,NA,NA, .,7,6,0,0,01101    0    0    0,0.03670904138803273
SJ950  SJ Pueb,SJB,Pueblocompos,compositeSan San Juan Basin,950,-980,300,92,38.9,53.1,0.423,0.343,San Juan Basin A.D. 900-999,1930,650,NA,NA, .,27,28,0,0,01101    0    0    0,0.07500607193755099
NSJ1050NSJPueb,NSJ,Pueblocompos,compositeNortNorthern San J,1050,-400,300,32.353,1.333,31.02,0.041,0,Northern San Juan A.D. 1000-1099,1450,750,NA,NA, .,25,28,0,0,01101    0    0    0,0.012662643830069355
SJ1050 SJ Pueb,SJB,Pueblocompos,compositeSan San Juan Basin,1050,-980,300,141.323,40.273,101.05,0.285,0.197,San Juan Basin A.D. 1000-1099,2030,750,NA,NA, .,48,73,0,0,01101    0    0    0,0.05387610615747035
