"","V1"
"450",0
"451",0
"452",0
"453",0
"454",0
"455",0
"456",0
"457",0
"458",0
"459",0
"460",0
"461",0
"462",0
"463",0
"464",0
"465",0
"466",0
"467",0
"468",0
"469",0
"470",0
"471",0
"472",0
"473",0
"474",0
"475",0
"476",0
"477",0
"478",0
"479",0
"480",0
"481",0
"482",0
"483",0
"484",0
"485",0
"486",0
"487",0
"488",0
"489",0
"490",0
"491",0
"492",0
"493",0
"494",0
"495",0
"496",0
"497",0
"498",0
"499",0
"500",0
"501",0
"502",0
"503",0
"504",0
"505",0
"506",0
"507",0
"508",0
"509",0
"510",0
"511",0
"512",0
"513",0
"514",0
"515",0
"516",0
"517",0
"518",0
"519",0
"520",0
"521",0
"522",0
"523",0
"524",0
"525",0
"526",0
"527",0
"528",0
"529",0
"530",0
"531",0
"532",0
"533",0
"534",0
"535",0
"536",0
"537",0
"538",0
"539",0
"540",0
"541",0
"542",0
"543",0
"544",0
"545",0
"546",0
"547",0
"548",0
"549",0
"550",0
"551",0
"552",0
"553",0
"554",0
"555",0
"556",0
"557",0
"558",0
"559",0
"560",0
"561",0
"562",1
"563",1
"564",1
"565",1
"566",2
"567",2
"568",3
"569",4
"570",6
"571",9
"572",12
"573",16
"574",20
"575",25
"576",31
"577",38
"578",46
"579",54
"580",63
"581",73
"582",82
"583",92
"584",102
"585",111
"586",119
"587",126
"588",133
"589",138
"590",143
"591",146
"592",149
"593",151
"594",153
"595",155
"596",158
"597",161
"598",167
"599",174
"600",188
"601",200
"602",215
"603",232
"604",251
"605",272
"606",295
"607",320
"608",345
"609",371
"610",396
"611",421
"612",445
"613",466
"614",486
"615",502
"616",515
"617",524
"618",528
"619",529
"620",525
"621",518
"622",507
"623",493
"624",477
"625",459
"626",441
"627",422
"628",405
"629",389
"630",376
"631",365
"632",359
"633",356
"634",357
"635",361
"636",369
"637",381
"638",396
"639",415
"640",435
"641",458
"642",482
"643",507
"644",533
"645",559
"646",584
"647",609
"648",632
"649",654
"650",674
"651",693
"652",709
"653",724
"654",737
"655",749
"656",760
"657",771
"658",780
"659",789
"660",799
"661",808
"662",817
"663",828
"664",839
"665",850
"666",863
"667",877
"668",892
"669",907
"670",924
"671",942
"672",960
"673",979
"674",998
"675",1017
"676",1036
"677",1053
"678",1070
"679",1085
"680",1098
"681",1108
"682",1116
"683",1121
"684",1123
"685",1123
"686",1119
"687",1112
"688",1103
"689",1091
"690",1076
"691",1059
"692",1040
"693",1020
"694",997
"695",973
"696",948
"697",922
"698",894
"699",865
"700",834
"701",801
"702",766
"703",729
"704",690
"705",650
"706",609
"707",566
"708",524
"709",482
"710",440
"711",401
"712",363
"713",328
"714",295
"715",266
"716",239
"717",217
"718",197
"719",180
"720",165
"721",154
"722",144
"723",137
"724",132
"725",128
"726",126
"727",126
"728",126
"729",127
"730",129
"731",132
"732",135
"733",139
"734",144
"735",149
"736",154
"737",159
"738",164
"739",170
"740",176
"741",182
"742",188
"743",194
"744",200
"745",206
"746",212
"747",219
"748",227
"749",236
"750",245
"751",257
"752",270
"753",285
"754",303
"755",323
"756",345
"757",371
"758",398
"759",428
"760",459
"761",492
"762",526
"763",561
"764",595
"765",628
"766",659
"767",688
"768",715
"769",738
"770",757
"771",773
"772",784
"773",792
"774",795
"775",794
"776",789
"777",781
"778",771
"779",758
"780",743
"781",727
"782",710
"783",693
"784",677
"785",662
"786",649
"787",637
"788",628
"789",620
"790",615
"791",613
"792",612
"793",613
"794",616
"795",620
"796",624
"797",630
"798",635
"799",640
"800",645
"801",649
"802",652
"803",654
"804",654
"805",654
"806",652
"807",649
"808",646
"809",641
"810",635
"811",629
"812",622
"813",615
"814",608
"815",601
"816",594
"817",587
"818",580
"819",574
"820",568
"821",563
"822",558
"823",553
"824",549
"825",545
"826",540
"827",536
"828",531
"829",527
"830",521
"831",516
"832",509
"833",503
"834",496
"835",489
"836",483
"837",477
"838",471
"839",467
"840",463
"841",462
"842",462
"843",464
"844",468
"845",475
"846",484
"847",497
"848",512
"849",531
"850",552
"851",577
"852",605
"853",635
"854",668
"855",704
"856",742
"857",782
"858",823
"859",864
"860",906
"861",947
"862",987
"863",1024
"864",1058
"865",1089
"866",1115
"867",1126
"868",1140
"869",1148
"870",1150
"871",1144
"872",1133
"873",1115
"874",1090
"875",1060
"876",1025
"877",985
"878",942
"879",895
"880",847
"881",797
"882",747
"883",697
"884",649
"885",601
"886",556
"887",513
"888",472
"889",434
"890",399
"891",367
"892",337
"893",309
"894",283
"895",259
"896",237
"897",216
"898",198
"899",181
"900",165
"901",151
"902",138
"903",127
"904",118
"905",110
"906",104
"907",99
"908",96
"909",95
"910",96
"911",99
"912",103
"913",109
"914",117
"915",127
"916",139
"917",152
"918",167
"919",184
"920",202
"921",221
"922",242
"923",264
"924",288
"925",312
"926",338
"927",366
"928",394
"929",424
"930",455
"931",486
"932",517
"933",548
"934",579
"935",608
"936",636
"937",662
"938",685
"939",706
"940",723
"941",737
"942",748
"943",755
"944",758
"945",758
"946",754
"947",748
"948",739
"949",727
"950",714
"951",699
"952",684
"953",667
"954",651
"955",636
"956",622
"957",609
"958",599
"959",591
"960",585
"961",581
"962",580
"963",580
"964",582
"965",586
"966",591
"967",596
"968",602
"969",608
"970",613
"971",618
"972",622
"973",625
"974",626
"975",626
"976",625
"977",621
"978",616
"979",610
"980",601
"981",591
"982",580
"983",568
"984",554
"985",539
"986",524
"987",509
"988",493
"989",477
"990",462
"991",447
"992",433
"993",420
"994",407
"995",396
"996",386
"997",376
"998",368
"999",361
"1000",357
"1001",350
"1002",346
"1003",342
"1004",339
"1005",336
"1006",334
"1007",332
"1008",331
"1009",331
"1010",333
"1011",336
"1012",344
"1013",355
"1014",370
"1015",390
"1016",416
"1017",449
"1018",490
"1019",539
"1020",597
"1021",665
"1022",743
"1023",831
"1024",929
"1025",1037
"1026",1155
"1027",1280
"1028",1411
"1029",1548
"1030",1685
"1031",1823
"1032",1963
"1033",2098
"1034",2226
"1035",2346
"1036",2456
"1037",2555
"1038",2643
"1039",2719
"1040",2783
"1041",2835
"1042",2877
"1043",2908
"1044",2929
"1045",2941
"1046",2944
"1047",2940
"1048",2930
"1049",2914
"1050",2892
"1051",2864
"1052",2833
"1053",2798
"1054",2760
"1055",2718
"1056",2672
"1057",2623
"1058",2570
"1059",2514
"1060",2454
"1061",2393
"1062",2325
"1063",2255
"1064",2182
"1065",2108
"1066",2033
"1067",1959
"1068",1887
"1069",1817
"1070",1749
"1071",1686
"1072",1626
"1073",1570
"1074",1518
"1075",1471
"1076",1428
"1077",1389
"1078",1354
"1079",1322
"1080",1294
"1081",1269
"1082",1245
"1083",1225
"1084",1206
"1085",1187
"1086",1170
"1087",1153
"1088",1135
"1089",1118
"1090",1101
"1091",1084
"1092",1067
"1093",1050
"1094",1034
"1095",1018
"1096",1004
"1097",992
"1098",982
"1099",973
"1100",968
"1101",966
"1102",968
"1103",974
"1104",984
"1105",999
